location,gender,age,pretest_1,pretest_2,posttest_1,posttest_2,w1,w2,w3,w4,code
Rochelle,unknown,unknown,4.0,4.0,5.0,6.0,6.5,8.0,5.0,5.0,98
Rochelle,m,60,3.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,68
Rochelle,unknown,unknown,5.0,5.0,5.0,7.0,20.0,24.0,18.0,18.0,73
Rochelle,m,60,4.0,4.0,5.0,5.0,16.0,13.0,18.0,18.0,72
Rochelle,f,62,3.0,3.0,5.0,7.0,16.0,9.0,5.0,5.0,66
Rochelle,m,64,5.0,5.0,5.0,7.0,1.0,3.0,2.0,2.0,84
Carbondale,f,73,4.0,6.0,5.0,4.0,4.0,5.0,7.0,7.0,8
Carbondale,f,79,3.0,4.0,4.0,7.0,24.0,20.0,21.0,15.0,7
Carbondale,f,61,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,6
Carbondale,m,62,5.0,5.0,5.0,5.0,44.0,46.0,44.0,36.0,10
Carbondale,f,61,4.0,7.0,4.0,7.0,25.0,18.0,25.0,12.0,5
Carbondale,f,65,5.0,6.0,5.0,7.0,19.0,21.0,22.0,20.0,4
Carbondale,f,75,5.0,7.0,5.0,7.0,17.0,8.0,10.0,13.0,3
Carbondale,f,67,4.0,6.0,4.0,6.0,10.0,11.0,13.0,14.0,28
Carbondale,f,61,3.0,7.0,3.0,7.0,9.0,4.0,7.0,9.0,9
Carbondale,f,60,3.0,7.0,4.0,7.0,6.0,6.0,5.0,6.0,12
Carbondale,f,78,4.0,6.0,5.0,7.0,40.0,36.0,35.0,39.0,11
Carbondale,m,91,3.0,7.0,3.0,6.0,5.0,2.0,4.0,1.0,29
Carbondale,m,78,5.0,7.0,5.0,7.0,34.0,54.0,52.0,69.0,13
Carbondale,f,73,5.0,7.0,5.0,7.0,33.0,36.0,35.0,40.0,14
Carbondale,f,64,4.0,6.0,5.0,7.0,22.0,26.0,30.0,33.0,15
Carbondale,f,unknown,5.0,7.0,5.0,7.0,20.0,33.0,27.0,28.0,16
Carbondale,f,61,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,17
Carbondale,f,71,5.0,6.0,1.0,7.0,5.0,9.0,10.0,10.0,18
Carbondale,m,72,1.0,5.0,3.0,5.0,19.0,19.0,21.0,22.0,19
Carbondale,f,87,2.0,3.0,5.0,5.0,11.0,11.0,12.0,8.0,20
Carbondale,f,unknown,5.0,7.0,5.0,7.0,12.0,9.0,6.0,6.0,21
Carbondale,f,62,3.0,5.0,5.0,7.0,7.0,8.0,7.0,7.0,22
Carbondale,m,88,2.0,5.0,2.0,6.0,31.0,24.0,22.0,30.0,23
Carbondale,m,62,5.0,7.0,4.0,7.0,7.0,7.0,7.0,5.0,24
Rochelle,f,56,2.0,4.0,5.0,7.0,6.0,6.0,7.0,5.0,64
MtVernon,m,87,5.0,5.0,5.0,7.0,33.0,30.0,42.0,40.0,139
Carbondale,f,73,5.0,7.0,5.0,7.0,7.0,7.0,8.5,10.5,31
Rochelle,f,72,4.0,4.0,5.0,7.0,19.0,15.0,18.0,17.0,62
Carbondale,m,80,5.0,7.0,5.0,7.0,12.0,15.0,9.0,9.0,33
Carbondale,f,66,5.0,7.0,5.0,7.0,15.0,11.0,9.0,12.0,34
Carbondale,m,83,2.0,5.0,3.0,6.0,3.0,16.0,7.0,0.0,35
Carbondale,f,unknown,4.0,5.0,4.0,6.0,4.0,7.0,7.0,7.0,38
Carbondale,f,61,5.0,7.0,5.0,7.0,24.0,21.0,18.0,18.0,39
Carbondale,f,70,5.0,6.0,5.0,6.0,16.0,15.0,14.0,15.0,40
Carbondale,f,63,4.0,5.0,3.0,7.0,17.0,19.0,21.0,23.0,41
Carbondale,m,67,3.0,5.0,5.0,6.0,19.0,25.0,24.0,26.0,42
Rochelle,f,67,4.0,4.0,5.0,7.0,36.0,39.0,32.0,36.0,43
Rochelle,unknown,89,5.0,5.0,5.0,7.0,15.0,11.0,8.0,10.0,44
Rochelle,f,82,3.0,5.0,5.0,7.0,16.0,18.0,19.0,24.0,45
Rochelle,f,67,1.0,4.0,3.0,7.0,16.0,19.0,19.0,15.0,46
Rochelle,m,52,5.0,5.0,5.0,6.0,16.0,16.0,16.0,13.0,47
Rochelle,f,62,5.0,5.0,5.0,7.0,21.0,21.0,21.0,21.0,48
Rochelle,f,84,4.0,4.0,5.0,7.0,11.0,21.0,18.0,21.0,49
Rochelle,f,61,5.0,5.0,5.0,6.0,12.0,11.0,10.0,7.0,50
Rochelle,f,86,5.0,5.0,5.0,7.0,14.0,18.0,14.0,13.0,51
Rochelle,f,82,4.0,4.0,5.0,4.0,14.0,10.0,6.0,7.0,54
Rochelle,m,68,3.0,4.0,3.0,7.0,18.0,18.0,18.0,12.0,56
Rochelle,unknown,unknown,3.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,57
Carbondale,f,78,5.0,7.0,5.0,7.0,7.0,0.0,0.0,0.0,26
Rochelle,f,70,4.0,5.0,5.0,7.0,12.0,10.0,17.0,5.0,59
Rochelle,unknown,unknown,5.0,5.0,5.0,5.0,19.0,19.0,23.0,3.0,61
Carbondale,f,67,1.0,3.0,4.0,6.0,10.0,18.0,21.0,22.0,25
MtVernon,f,68,4.0,7.0,4.0,7.0,9.0,12.0,36.0,39.0,125
Carbondale,f,68,4.0,5.0,5.0,7.0,14.0,12.0,14.0,14.0,27
Rochelle,f,77,4.0,5.0,5.0,7.0,17.0,21.0,21.0,21.0,63
